recordID,decimalLatitude,decimalLongitude,eventDate,family,scientificName,taxonConceptID,dataResourceName,basisOfRecord,recordedBy,ABS_SA2_region_2016
fc4e99c1-23fa-4d5e-b1f3-52893f7875f4,-35.24150003,148.976,1991-10-25T14:00:00Z,Agamidae,Diporiphora nobbi,urn:lsid:biodiversity.org.au:afd.taxon:ed660d9e-4dea-4ecd-a0e8-f93c248cb677,ACT Wildlife Atlas,UNKNOWN,,MOLONGLO CORRIDOR
a467eb13-10e9-4e51-b429-5c8761b8cacc,-35.24140003,148.926,,Elapidae,Pseudechis porphyriacus,urn:lsid:biodiversity.org.au:afd.taxon:c1d2d6c3-1123-4461-8c07-3254ea76f391,ACT Wildlife Atlas,UNKNOWN,,ACT - SOUTH WEST
62bb0693-6272-473b-95c3-7568c229dc3f,-35.24140003,148.926,,Agamidae,Intellagama lesueurii,urn:lsid:biodiversity.org.au:afd.taxon:90be1d02-4bf4-478f-976d-25c04395d1f8,ACT Wildlife Atlas,UNKNOWN,,ACT - SOUTH WEST
7aa895d7-8003-4452-b182-f5ea84f5ed9c,-35.24140003,149.092,1993-09-29T14:00:00Z,Elapidae,Pseudonaja textilis,urn:lsid:biodiversity.org.au:afd.taxon:e1224c2e-df79-4e9d-ba8d-99eef15a44e5,ACT Wildlife Atlas,UNKNOWN,,BRUCE
adbf4c4e-e39a-49fd-ac80-cae0c0b3333f,-35.24120003,149.104,1993-11-25T13:00:00Z,Scincidae,Menetia greyii,urn:lsid:biodiversity.org.au:afd.taxon:ada5e2b7-1b23-410d-a3cf-1a81853a7de8,ACT Wildlife Atlas,UNKNOWN,,BRUCE
e86881cc-36c3-43bc-9593-97737c7220e5,-35.24120003,149.104,1993-11-25T13:00:00Z,Scincidae,Hemiergis decresiensis,urn:lsid:biodiversity.org.au:afd.taxon:64d0c6ca-882a-4507-8932-c6140d557dad,ACT Wildlife Atlas,UNKNOWN,,BRUCE
ffcdde5a-32f1-4bea-a981-f681fa010c0e,-35.24120003,149.047,1988-10-29T14:00:00Z,Agamidae,Pogona barbata,urn:lsid:biodiversity.org.au:afd.taxon:25b7606b-0b61-4f2d-967e-9c5c210fe332,ACT Wildlife Atlas,UNKNOWN,,PAGE
bdc03c26-26cc-4e04-baa8-7e7248f2ccd8,-35.24120003,149.104,1993-11-25T13:00:00Z,Scincidae,Lampropholis delicata,urn:lsid:biodiversity.org.au:afd.taxon:82f18b82-bc29-4847-83bc-eb94f72843ae,ACT Wildlife Atlas,UNKNOWN,,BRUCE
4b3ef8f0-79c9-49fe-8b82-38faa6bd1acb,-35.24110003,149.107,1993-11-25T13:00:00Z,Scincidae,Lampropholis delicata,urn:lsid:biodiversity.org.au:afd.taxon:82f18b82-bc29-4847-83bc-eb94f72843ae,ACT Wildlife Atlas,UNKNOWN,,KALEEN
c8ab1ba3-90b8-4408-ab74-93b14e55d07e,-35.24110003,149.107,1993-11-25T13:00:00Z,Scincidae,Menetia greyii,urn:lsid:biodiversity.org.au:afd.taxon:ada5e2b7-1b23-410d-a3cf-1a81853a7de8,ACT Wildlife Atlas,UNKNOWN,,KALEEN
6376e9a8-381f-4eab-bcfb-fd39fe02a6fc,-35.24110003,148.949,,Elapidae,Pseudonaja textilis,urn:lsid:biodiversity.org.au:afd.taxon:e1224c2e-df79-4e9d-ba8d-99eef15a44e5,ACT Wildlife Atlas,UNKNOWN,,ACT - SOUTH WEST
9c6b8639-8bc9-4869-8a76-8d8c36a76730,-35.2411,148.9508,2011-10-27T13:00:00Z,Chelidae,Chelodina (Chelodina) longicollis,urn:lsid:biodiversity.org.au:afd.taxon:68eba403-5689-4a10-8c58-e3e6e4151cb4,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,ACT - SOUTH WEST
8553dc4d-fd19-4a82-b1dc-3b773c36436c,-35.2411,148.9508,2011-10-27T13:00:00Z,Chelidae,Chelodina (Chelodina) longicollis,urn:lsid:biodiversity.org.au:afd.taxon:68eba403-5689-4a10-8c58-e3e6e4151cb4,Australian National Wildlife Collection provider for OZCAM,MATERIAL_SAMPLE,,ACT - SOUTH WEST
521571c0-a55f-4aec-9c06-fa642e1787cf,-35.24100003,149.165,1991-11-17T13:00:00Z,Elapidae,Pseudonaja textilis,urn:lsid:biodiversity.org.au:afd.taxon:e1224c2e-df79-4e9d-ba8d-99eef15a44e5,ACT Wildlife Atlas,UNKNOWN,,HACKETT
bebd85c3-9ffb-4d60-85d1-782f24840c92,-35.240959,149.17189,,Agamidae,Pogona barbata,urn:lsid:biodiversity.org.au:afd.taxon:25b7606b-0b61-4f2d-967e-9c5c210fe332,iNaturalist Australia,HUMAN_OBSERVATION,Dylanjones,MAJURA
d7350e0e-215a-4fe8-8ce8-b29183b2553e,-35.240932,148.97709,2016-02-28T05:35:00Z,Scincidae,Egernia cunninghami,urn:lsid:biodiversity.org.au:afd.taxon:d7fd5a96-f5a0-4f59-b138-39ce55c962b2,iNaturalist Australia,HUMAN_OBSERVATION,,MOLONGLO CORRIDOR
f7cab278-7308-42d4-bd44-0f0188548e07,-35.240897,149.081997,2019-09-19T16:26:00Z,Scincidae,Tiliqua scincoides,urn:lsid:biodiversity.org.au:afd.taxon:78d80a58-c9ee-42d4-a0e1-c43bcccf9d56,iNaturalist Australia,HUMAN_OBSERVATION,Sharrisi,BRUCE
5ee182a1-6b6d-4b69-9085-1f29bca26f41,-35.240833,149.170278,2017-12-01T02:05:00Z,Scincidae,Tiliqua rugosa,urn:lsid:biodiversity.org.au:afd.taxon:1a6623ab-8d46-4da0-957c-f27b663f7ef0,iNaturalist Australia,HUMAN_OBSERVATION,Aquilafurst,WATSON
bbaa566c-d2d8-48ee-a6a5-fb1a6d8a2082,-35.240833,149.170333,,Agamidae,Pogona barbata,urn:lsid:biodiversity.org.au:afd.taxon:25b7606b-0b61-4f2d-967e-9c5c210fe332,iNaturalist Australia,HUMAN_OBSERVATION,Dylanjones,WATSON
93d16587-3fb3-4842-b46a-c4adbc559a7f,-35.24060003,149.137,,Scincidae,Tiliqua scincoides,urn:lsid:biodiversity.org.au:afd.taxon:78d80a58-c9ee-42d4-a0e1-c43bcccf9d56,ACT Wildlife Atlas,UNKNOWN,,LYNEHAM
a9b64d7c-64ad-4d48-8edb-1c54964d5021,-35.24060003,148.977,1992-01-29T13:00:00Z,Pygopodidae,Lialis burtonis,urn:lsid:biodiversity.org.au:afd.taxon:b17388f8-4468-4a91-b434-659bf3739561,ACT Wildlife Atlas,UNKNOWN,,MOLONGLO CORRIDOR
295d9a3c-7adf-465c-ae80-2d073a7ce4ef,-35.24060003,148.977,,Scincidae,Ctenotus robustus,urn:lsid:biodiversity.org.au:afd.taxon:ff331787-ecbd-4e17-87d5-79b910d20b0d,ACT Wildlife Atlas,UNKNOWN,,MOLONGLO CORRIDOR
3f7c66d3-aa83-47d4-bbf6-c23cff8a43af,-35.24060003,148.974,,Agamidae,Pogona barbata,urn:lsid:biodiversity.org.au:afd.taxon:25b7606b-0b61-4f2d-967e-9c5c210fe332,ACT Wildlife Atlas,UNKNOWN,,ACT - SOUTH WEST
a86acb88-9d25-4586-8b73-ccd8873fbb70,-35.24050003,148.927,,Scincidae,Carlia tetradactyla,urn:lsid:biodiversity.org.au:afd.taxon:0a7d416c-4773-4195-9610-200e03bb90a5,ACT Wildlife Atlas,UNKNOWN,,ACT - SOUTH WEST
c1f63ebe-7ad0-45b4-811c-3c17cf414a6e,-35.24,149.15,,Scincidae,Tiliqua scincoides scincoides,urn:lsid:biodiversity.org.au:afd.taxon:d9fa0525-2f62-4f52-8e39-63b6cde3eee5,ALA species sightings and OzAtlas,HUMAN_OBSERVATION,"Worth, Patricia",WATSON
b821ec9d-743a-4d51-afa5-a383b2f0824c,-35.23990003,149.125,1991-10-27T13:00:00Z,Elapidae,Pseudonaja textilis,urn:lsid:biodiversity.org.au:afd.taxon:e1224c2e-df79-4e9d-ba8d-99eef15a44e5,ACT Wildlife Atlas,UNKNOWN,,LYNEHAM
a220a414-dc20-4ce2-8d21-15b6dc9a1dbf,-35.23990003,149.075,,Elapidae,Pseudonaja textilis,urn:lsid:biodiversity.org.au:afd.taxon:e1224c2e-df79-4e9d-ba8d-99eef15a44e5,ACT Wildlife Atlas,UNKNOWN,,BELCONNEN
f25440bb-f936-4a08-b51b-6b2037a288ab,-35.23982603,149.164811,2014-10-27T13:00:00Z,Scincidae,Tiliqua rugosa,urn:lsid:biodiversity.org.au:afd.taxon:1a6623ab-8d46-4da0-957c-f27b663f7ef0,NSW BioNet Atlas,HUMAN_OBSERVATION,OWJS96120300,WATSON
64349882-f13f-4535-9716-dd2b7d9ae4e9,-35.239685,148.984319,2019-02-10T02:06:00Z,Scincidae,Egernia cunninghami,urn:lsid:biodiversity.org.au:afd.taxon:d7fd5a96-f5a0-4f59-b138-39ce55c962b2,Earth Guardians Weekly Feed,HUMAN_OBSERVATION,<a href='https://bee.questagame.com/#/profile/16212?questagame_user_id=16212'>Questagamer123 | questagame.com</a>,WEST BELCONNEN
354e43f7-2631-4d6c-9289-1d364461fb5d,-35.23940003,148.939,1997-09-16T14:00:00Z,Scincidae,Morethia boulengeri,urn:lsid:biodiversity.org.au:afd.taxon:ec9135c3-9e95-4b79-ba2e-f35266863429,ACT Wildlife Atlas,UNKNOWN,,ACT - SOUTH WEST
50749699-2541-45dc-9f47-65248eef87af,-35.23940003,148.939,1997-09-16T14:00:00Z,Scincidae,Lampropholis guichenoti,urn:lsid:biodiversity.org.au:afd.taxon:44f8629d-8ed7-447a-8657-b628b24added,ACT Wildlife Atlas,UNKNOWN,,ACT - SOUTH WEST
45c9a40d-e1c6-426a-9641-5a67a730ef64,-35.239307,149.173649,2020-01-18T13:53:00Z,Scincidae,Egernia cunninghami,urn:lsid:biodiversity.org.au:afd.taxon:d7fd5a96-f5a0-4f59-b138-39ce55c962b2,Earth Guardians Weekly Feed,HUMAN_OBSERVATION,<a href='https://bee.questagame.com/#/profile/28407?questagame_user_id=28407'>Maddylaine | questagame.com</a>,MAJURA
f58b40ea-632f-418d-951f-873a6f3daf79,-35.239273,149.17748,2011-09-25T17:52:00Z,Scincidae,Tiliqua rugosa aspera,urn:lsid:biodiversity.org.au:afd.taxon:73c1d3e6-b064-4180-82de-345b4667cfb1,iNaturalist Australia,HUMAN_OBSERVATION,"Squires, Kai",MAJURA
7208e9a8-d60b-47a2-8427-595457fc457d,-35.23910003,148.961,,Agamidae,Intellagama lesueurii,urn:lsid:biodiversity.org.au:afd.taxon:90be1d02-4bf4-478f-976d-25c04395d1f8,ACT Wildlife Atlas,UNKNOWN,,ACT - SOUTH WEST
6e2d7275-720f-450a-b12b-7e4f7ad9701e,-35.23900003,149.175,1993-12-18T13:00:00Z,Scincidae,Tiliqua scincoides,urn:lsid:biodiversity.org.au:afd.taxon:78d80a58-c9ee-42d4-a0e1-c43bcccf9d56,ACT Wildlife Atlas,UNKNOWN,,MAJURA
ab00347b-fd2e-4b72-9506-ff3f97713fc7,-35.2389,149.1833,,Scincidae,Ctenotus taeniolatus,urn:lsid:biodiversity.org.au:afd.taxon:4fce5374-4678-4b2d-b94e-bb9a49d6ed50,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,MAJURA
6abbd991-797a-441b-b309-378188ec178a,-35.2389,149.1833,1968-11-15T14:00:00Z,Scincidae,Menetia greyii,urn:lsid:biodiversity.org.au:afd.taxon:ada5e2b7-1b23-410d-a3cf-1a81853a7de8,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,MAJURA
d0b05e8a-d6c2-4119-b8e4-d272a5ee3446,-35.23880003,148.978,1991-02-27T13:00:00Z,Agamidae,Diporiphora nobbi,urn:lsid:biodiversity.org.au:afd.taxon:ed660d9e-4dea-4ecd-a0e8-f93c248cb677,ACT Wildlife Atlas,UNKNOWN,,WEST BELCONNEN
0a271dc3-a4e6-48f3-a3fa-2bfc3b0dd30f,-35.23880003,149.084,,Elapidae,Pseudonaja textilis,urn:lsid:biodiversity.org.au:afd.taxon:e1224c2e-df79-4e9d-ba8d-99eef15a44e5,ACT Wildlife Atlas,UNKNOWN,,BRUCE
